"Story","Title","Result","Date","Stability","Duration (s)"
"Title of your feature","Dar de alta a un usuario","ERROR","23:08:47","0.0","1.16"
"Title of your feature","Login de un usuario","ERROR","16:23:56","0.0","135.27"
